STATIONID,LATITUDE,LONGITUDE
US10colf001,41.7014,-97.0731
US10colf002,41.5837,-97.0027
US10colf003,41.596,-97.1614
US10colf005,41.4186,-97.2521
US10cumi002,41.8049,-96.6907
US10cumi003,41.8664,-96.7995
US10cumi005,41.9103,-96.6379
US10cumi006,41.9826,-96.9095
US10cumi007,41.82,-96.71
US10cumi008,41.9301,-96.8078
US10cumi009,42.0028,-96.5717
US10cumi010,41.7973,-96.7926
US10cumi011,42.0045,-96.7088
US10cumi012,42.0149,-96.5756
US10cust001,41.1325,-99.7503
US10cust002,41.6544,-99.4623
US10cust003,41.4206,-100.1929
US10cust004,41.1492,-100.1954
US10cust005,41.2685,-99.5322
US10cust007,41.2891,-99.3739
US10cust008,41.5246,-99.716
US10cust009,41.5285,-99.8369
US10cust010,41.1759,-99.6131
US10cust011,41.5008,-100.0225
US10cust012,41.6293,-99.9052
US10cust013,41.689,-99.9324
US10cust014,41.5419,-100.0685
US10cust015,41.7171,-99.9848
US10cust016,41.6,-99.7523
US10cust017,41.2252,-99.6644
US10cust020,41.2793,-100.1589
US10cust021,41.4517,-99.9745
US10cust022,41.409,-99.4638
US10cust027,41.7346,-99.6987
US10cust028,41.6399,-99.3898
US10cust029,41.5562,-99.2362
US10cust032,41.4189,-99.8858
US10cust035,41.5661,-100.0212
US10cust039,41.2888,-99.9237
US10cust040,41.2868,-99.7077
US10cust041,41.4004,-99.5844
US10cust042,41.6273,-99.741
US10cust045,41.412,-99.6378
US10cust046,41.4816,-99.8928
US10dako002,42.3484,-96.6192
US10dako003,42.3882,-96.5916
US10dawe001,42.8292,-102.9939
US10dawe002,42.8304,-102.9956
US10dawe003,42.7696,-103.0213
US10dawe005,42.7177,-103.0117
US10dawe006,42.6675,-103.2848
US10dawe007,42.8037,-103.0531
US10dawe010,42.6256,-102.8125
US10dawe011,42.5602,-103.0704
US10dawe012,42.7625,-103.3398
US10dawe013,42.5495,-103.3619
US10dawe015,42.4525,-102.9868
US10dawe016,42.6975,-103.3779
US10dawe017,42.4672,-103.145
US10dawe018,42.5116,-103.1096
US10dawe019,42.7123,-103.0049
US10dawe023,42.457,-102.9293
US10dawe025,42.8475,-103.0671
US10dawe026,42.668,-103.0668
US10dawe027,42.611,-103.0857
US10dawe030,42.4549,-103.2334
US10daws001,40.8658,-99.8494
US10daws002,40.78,-99.72
US10daws003,40.781,-99.5593
US10daws004,40.8844,-100.0327
US10daws005,40.7104,-99.7008
US10daws006,40.694,-99.587
US10daws007,41.0007,-100.1654
US10daws008,40.7966,-99.9956
US10daws009,40.8876,-100.1645
US10daws010,40.9455,-99.5599
US10daws011,40.9238,-99.4457
US10daws012,41.0118,-99.6248
US10daws013,40.7471,-99.4578
US10daws014,40.7135,-99.5213
US10daws015,40.7099,-100.1229
US10daws017,40.8715,-99.981
US10daws018,40.9394,-100.1577
US10deue001,41.0936,-102.4766
US10deue002,41.0955,-102.471
US10deue003,41.087,-102.4699
US10deue004,41.1496,-102.3234
US10deue005,41.1106,-102.3243
US10deue009,41.0613,-102.0896
US10deue010,41.1297,-102.4565
US10deue012,41.0479,-102.5835
US10deue013,41.0946,-102.4586
US10deue015,41.0025,-102.241
US10deue016,41.0557,-102.074
US10deue018,41.1828,-102.5743
US10deue020,41.1266,-102.246
US10deue021,41.0911,-102.5577
US10deue025,41.0942,-102.4764
US10dixo001,42.4273,-96.9774
US10dixo003,42.3056,-96.7977
US10dixo005,42.5618,-96.7053
US10dixo006,42.5766,-96.8686
US10dodg005,41.668,-96.628
US10dodg012,41.6544,-96.5097
US10doug001,41.2201,-96.1474
US10doug002,41.199,-96.1841
US10doug005,41.2582,-96.1784
US10doug006,41.2658,-95.9927
US10doug007,41.2811,-96.1593
US10doug009,41.1977,-96.152
US10doug012,41.289,-96.331
US10doug013,41.3337,-95.9828
US10doug014,41.2166,-96.1456
US10doug015,41.32,-95.975
US10doug018,41.2924,-96.0062
US10doug019,41.1977,-96.0737
US10doug020,41.2903,-96.0279
US10doug021,41.2964,-96.2471
US10doug022,41.114,-96.1323
US10doug024,41.2844,-96.1014
US10doug025,41.3639,-96.1558
US10doug029,41.2523,-96.1839
US10doug031,41.2585,-96.2296
US10doug033,41.294,-96.1629
US10doug035,41.269,-96.116
US10doug036,41.3114,-96.1412
US10doug046,41.3003,-96.0398
US10doug051,41.3553,-96.2138
US10doug052,41.2538,-96.3304
US10doug053,41.2499,-96.1714
US10doug054,41.3121,-96.1779
US10doug055,41.3661,-96.3878
US10doug057,41.2042,-96.1052
US10doug059,41.206,-96.1812
US10doug060,41.2687,-95.9869
US10doug064,41.3348,-96.366
US10dund001,40.0535,-101.5336
US10dund002,40.1135,-101.4065
US10dund003,40.0194,-101.3384
US10dund004,40.1626,-101.6806
US10dund005,40.1765,-101.39
US10dund006,40.2061,-101.3638
US10dund007,40.2213,-101.5863
US10dund008,40.3158,-101.8781
US10dund009,40.2787,-101.6933
US10dund010,40.1177,-101.7821
US10dund011,40.1548,-101.4734
US10dund013,40.2894,-101.3616
US10dund014,40.0757,-101.5947
US10dund015,40.3361,-101.4339
US10dund016,40.3219,-101.5138
US10dund017,40.139,-101.8625
US10dund018,40.3343,-101.3468
US10dund019,40.1078,-101.5849
US10dund020,40.3347,-101.3795
US10dund022,40.2415,-101.7007
US10dund023,40.12,-101.7334
US10fill001,40.6386,-97.556
US10fill002,40.634,-97.5841
US10fill003,40.3785,-97.73
US10fill005,40.5402,-97.672
US10fill006,40.4067,-97.3739
US10fill007,40.3509,-97.5014
US10fill008,40.5195,-97.5985
US10fill010,40.6539,-97.5199
US10fill011,40.5866,-97.6917
US10fill012,40.4886,-97.7485
US10fill014,40.5357,-97.4347
US10fill015,40.527,-97.5982
US10fill019,40.4362,-97.483
US10fran001,40.0747,-98.8176
US10fran002,40.2732,-99.0295
US10fran003,40.288,-98.9208
US10fran004,40.098,-98.9572
US10fran005,40.0781,-99.1414
US10fran006,40.2623,-99.1075
US10fran007,40.2776,-99.1562
US10fran008,40.1071,-98.9437
US10fran009,40.2478,-98.8561
US10fran013,40.0576,-99.1572
US10fran014,40.3363,-99.0419
US10fran015,40.0999,-98.9228
US10fron002,40.5556,-100.4389
US10fron003,40.3726,-100.4113
US10fron004,40.6295,-100.5277
US10fron005,40.3652,-100.3659
US10fron007,40.6595,-100.6237
US10fron008,40.631,-100.5159
US10fron009,40.6199,-100.0473
US10fron010,40.6901,-100.0995
US10fron011,40.57,-100.1177
US10fron012,40.4063,-100.3632
US10fron014,40.4028,-100.6412
US10fron015,40.5081,-100.6456
US10fron016,40.5523,-100.0582
US10fron017,40.3882,-100.1712
US10fron018,40.5422,-100.2858
US10fron019,40.5021,-100.5022
US10furn001,40.3021,-100.1547
US10furn002,40.2928,-99.6693
US10furn003,40.1823,-99.8051
US10furn004,40.0502,-99.8189
US10furn005,40.3073,-99.982
US10furn006,40.0096,-99.9996
US10furn007,40.0732,-99.6668
US10furn008,40.0887,-99.892
US10furn009,40.2179,-100.0153
US10furn010,40.1478,-99.8943
US10furn014,40.133,-99.8238
US10furn015,40.2463,-99.9516
US10furn018,40.2499,-99.6375
US10furn019,40.2596,-99.7367
US10furn020,40.1145,-100.1042
US10furn022,40.3083,-99.9056
US10furn024,40.2215,-100.1086
US10furn025,40.2854,-100.179
US10furn031,40.0451,-100.0164
US10gage001,40.2847,-96.7429
US10gage002,40.2799,-96.7359
US10gage003,40.0525,-96.5774
US10gage004,40.3063,-96.875
